time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
0.000000,0.246287,0.288898,-0.107944,0.272726,-0.270434,-0.088422
0.020000,0.246664,0.288640,-0.108063,0.271706,-0.270664,-0.088856
0.040000,0.247024,0.288363,-0.108153,0.270604,-0.270932,-0.089199
0.060000,0.247134,0.288218,-0.108191,0.269722,-0.271213,-0.089390
0.080000,0.247185,0.288148,-0.108160,0.269093,-0.271421,-0.089533
0.100000,0.247053,0.288119,-0.108148,0.268675,-0.271553,-0.089630
0.120000,0.246918,0.288145,-0.108116,0.268284,-0.271693,-0.089626
0.140000,NaN,NaN,NaN,0.267955,-0.271620,-0.089759
0.160000,0.246344,0.288333,-0.108082,0.267466,-0.271701,-0.089748
0.180000,0.246038,0.288426,-0.108028,0.266958,-0.271695,-0.089901
0.200000,0.245726,0.288522,-0.107937,0.266358,-0.271748,-0.089995
0.220000,0.245363,0.288600,-0.107903,0.265788,-0.271718,-0.090172
0.240000,0.244927,0.288680,-0.107911,0.265182,-0.271752,-0.090247
0.260000,0.244492,0.288770,-0.107905,0.264564,-0.271741,-0.090292
0.280000,0.244106,0.288853,-0.107894,0.263888,-0.271766,-0.090171
0.300000,0.243629,0.288924,-0.108043,0.263017,-0.271764,-0.089966
0.320000,0.243137,0.288853,-0.108430,0.261644,-0.272094,-0.089458
0.340000,NaN,NaN,NaN,0.259722,-0.272449,-0.088943
0.360000,0.241789,0.288511,-0.109005,0.257882,-0.272884,-0.088181
0.380000,0.240718,0.288348,-0.109170,0.256423,-0.273259,-0.087487
0.400000,0.239440,0.288240,-0.109289,0.255389,-0.273646,-0.086688
0.420000,0.237734,0.288293,-0.109120,NaN,NaN,NaN
0.440000,0.236054,0.288299,-0.108878,0.253616,-0.274332,-0.085384
0.460000,0.234031,0.288421,-0.108497,0.252252,-0.274643,-0.084979
0.480000,0.232011,0.288536,-0.107943,0.250356,-0.275049,-0.084676
0.500000,0.229210,0.288779,-0.107270,0.248584,-0.275221,-0.084804
0.520000,0.226310,0.288947,-0.106614,0.246533,-0.275379,-0.085063
0.540000,0.223213,0.289062,-0.105872,0.244302,-0.275370,-0.085621
0.560000,0.219933,0.289139,-0.105014,0.242288,-0.275462,-0.086049
